,date,open,close,high,low,code
1191,2015-02-10,21.362,21.622,22.012,21.251,000776
1192,2015-02-11,21.715,21.734,21.985,21.399,000776
1193,2015-02-12,21.882,21.613,21.892,21.279,000776
1194,2015-02-13,21.706,21.975,22.542,21.706,000776
1195,2015-02-16,21.715,21.659,21.91,21.464,000776
1196,2015-02-17,21.734,21.706,22.189,21.604,000776
1197,2015-02-25,21.734,21.195,21.743,21.176,000776
1198,2015-02-26,21.186,22.142,22.245,20.777,000776
1199,2015-02-27,22.142,21.957,22.384,21.873,000776
1200,2015-03-02,22.421,22.56,22.997,22.068,000776
1201,2015-03-03,22.375,21.548,22.384,21.502,000776
1202,2015-03-04,21.548,21.39,21.734,21.223,000776
1203,2015-03-05,21.26,21.307,21.687,20.972,000776
1204,2015-03-06,21.567,21.437,22.087,21.362,000776
1205,2015-03-09,20.619,20.814,20.972,20.173,000776
1206,2015-03-10,20.759,20.656,21.093,20.387,000776
1207,2015-03-11,20.712,20.601,21.065,20.545,000776
1208,2015-03-12,20.721,21.056,21.232,20.526,000776
1209,2015-03-13,21.251,21.176,21.789,21.056,000776
1210,2015-03-16,21.381,21.808,22.068,21.074,000776
1211,2015-03-17,22.393,22.56,22.755,22.096,000776
1212,2015-03-18,22.885,23.452,23.628,22.885,000776
1213,2015-03-19,23.591,23.211,23.777,23.062,000776
1214,2015-03-20,23.303,24.381,25.384,22.867,000776
1215,2015-03-23,24.743,24.873,25.059,24.381,000776
1216,2015-03-24,24.892,24.511,25.328,23.991,000776
1217,2015-03-25,24.567,24.028,25.124,23.981,000776
1218,2015-03-26,23.777,23.963,24.511,23.433,000776
1219,2015-03-27,24.019,24.78,25.458,24.0,000776
1220,2015-03-30,24.78,25.607,25.895,24.437,000776
1221,2015-03-31,26.043,25.913,28.031,25.728,000776
1222,2015-04-01,26.127,26.61,26.916,25.709,000776
1223,2015-04-02,26.944,26.285,27.111,25.848,000776
1224,2015-04-03,25.997,27.009,27.102,25.969,000776
1225,2015-04-07,27.502,27.474,27.678,26.879,000776
1226,2015-04-08,27.632,28.337,28.876,27.111,000776
1227,2015-04-09,29.526,28.681,30.539,28.282,000776
1228,2015-04-10,28.57,28.43,28.653,27.836,000776
1229,2015-04-13,28.43,27.854,28.588,27.418,000776
1230,2015-04-14,27.678,27.697,28.096,26.926,000776
1231,2015-04-15,27.399,26.415,27.409,26.285,000776
1232,2015-04-16,26.248,26.814,27.149,26.025,000776
1233,2015-04-17,27.074,26.907,27.492,26.656,000776
1234,2015-04-20,26.935,25.588,27.028,25.533,000776
1235,2015-04-21,25.635,26.796,27.028,25.635,000776
1236,2015-04-22,27.074,28.347,28.774,26.749,000776
1237,2015-04-23,28.467,27.771,29.025,27.455,000776
1238,2015-04-24,27.214,26.656,27.399,26.238,000776
1239,2015-04-27,26.749,26.861,27.446,26.545,000776
1240,2015-04-28,26.907,26.563,27.195,26.443,000776
1241,2015-04-29,26.471,26.517,26.824,26.015,000776
1242,2015-04-30,26.536,26.201,26.749,26.192,000776
1243,2015-05-04,26.155,25.904,26.378,25.728,000776
1244,2015-05-05,25.96,25.003,26.573,24.715,000776
1245,2015-05-06,25.207,25.031,25.969,24.78,000776
1246,2015-05-07,25.031,25.365,25.56,24.892,000776
1247,2015-05-08,25.73,25.458,25.992,25.009,000776
1248,2015-05-11,25.486,26.328,26.375,25.477,000776
1249,2015-05-12,26.338,26.59,27.292,25.842,000776
1250,2015-05-13,26.553,26.076,26.553,25.73,000776
1251,2015-05-14,26.085,25.814,26.338,25.608,000776
1252,2015-05-15,25.636,24.794,25.72,24.7,000776
1253,2015-05-18,24.495,24.298,24.794,24.27,000776
1254,2015-05-19,24.298,25.982,26.665,24.298,000776
1255,2015-05-20,26.066,25.617,26.095,25.449,000776
1256,2015-05-21,25.636,25.645,25.898,25.281,000776
1257,2015-05-22,25.926,26.431,26.787,25.917,000776
1258,2015-05-25,26.459,27.217,27.685,26.459,000776
1259,2015-05-26,27.339,27.311,27.601,26.618,000776
1260,2015-05-27,27.33,26.974,27.507,26.946,000776
1261,2015-05-28,26.927,24.317,26.946,24.279,000776
1262,2015-05-29,24.7,24.167,24.888,23.718,000776
1263,2015-06-01,24.607,25.542,25.917,24.139,000776
1264,2015-06-02,25.524,25.468,25.692,25.075,000776
1265,2015-06-03,25.673,25.252,25.87,24.953,000776
1266,2015-06-04,25.402,25.589,25.879,23.858,000776
1267,2015-06-05,26.478,26.282,26.74,25.589,000776
1268,2015-06-08,26.338,27.825,28.013,26.226,000776
1269,2015-06-09,27.853,27.021,28.162,26.759,000776
1270,2015-06-10,26.693,26.609,27.058,26.441,000776
1271,2015-06-11,26.478,26.151,26.647,25.992,000776
