---------------------------------main enter---------------------------
============买入1:buy_count: 15  sell_own: 0.0  盈余: -25576.0  持仓: 1500  比率: 7.77448071217
day 2011-04-22  close: 16.64  ma250: 18.13
============买入1:buy_count: 16  sell_own: 0.0  盈余: -27240.0  持仓: 1600  比率: 8.95432692308
day 2011-04-25  close: 16.30  ma250: 18.11
============买入1:buy_count: 17  sell_own: 0.0  盈余: -28870.0  持仓: 1700  比率: 11.1042944785
day 2011-04-26  close: 16.13  ma250: 18.08
============买入1:buy_count: 18  sell_own: 0.0  盈余: -30483.0  持仓: 1800  比率: 12.0892746435
day 2011-04-28  close: 15.23  ma250: 18.05
============买入2:buy_count: 19  sell_own: 0.0  盈余: -32006.0  持仓: 1900  比率: 18.516086671
day 2011-04-29  close: 15.32  ma250: 18.02
============买入2:buy_count: 20  sell_own: 0.0  盈余: -33538.0  持仓: 2000  比率: 17.6240208877
day 2011-05-03  close: 15.18  ma250: 17.99
============买入2:buy_count: 21  sell_own: 0.0  盈余: -35056.0  持仓: 2100  比率: 18.511198946
day 2011-05-04  close: 14.49  ma250: 17.96
============买入2:buy_count: 22  sell_own: 0.0  盈余: -36505.0  持仓: 2200  比率: 23.9475500345
day 2011-05-05  close: 14.53  ma250: 17.93
============买入2:buy_count: 23  sell_own: 0.0  盈余: -37958.0  持仓: 2300  比率: 23.3998623538
day 2011-05-06  close: 14.57  ma250: 17.90
============买入2:buy_count: 24  sell_own: 0.0  盈余: -39415.0  持仓: 2400  比率: 22.8551818806
day 2011-05-09  close: 14.72  ma250: 17.86
============买入2:buy_count: 25  sell_own: 0.0  盈余: -40887.0  持仓: 2500  比率: 21.3315217391
day 2011-05-10  close: 14.87  ma250: 17.84
============买入2:buy_count: 26  sell_own: 0.0  盈余: -42374.0  持仓: 2600  比率: 19.9731002017
day 2011-05-11  close: 14.71  ma250: 17.81
============买入2:buy_count: 27  sell_own: 0.0  盈余: -43845.0  持仓: 2700  比率: 21.0740992522
day 2011-05-12  close: 14.26  ma250: 17.79
============买入2:buy_count: 28  sell_own: 0.0  盈余: -45271.0  持仓: 2800  比率: 24.7545582048
day 2011-05-13  close: 14.80  ma250: 17.77
============买入2:buy_count: 29  sell_own: 0.0  盈余: -46751.0  持仓: 2900  比率: 20.0675675676
day 2011-05-17  close: 14.72  ma250: 17.75
============买入2:buy_count: 30  sell_own: 0.0  盈余: -48223.0  持仓: 3000  比率: 20.5842391304
day 2011-05-18  close: 14.64  ma250: 17.73
============买入2:buy_count: 31  sell_own: 0.0  盈余: -49687.0  持仓: 3100  比率: 21.106557377
day 2011-05-19  close: 14.52  ma250: 17.71
============买入2:buy_count: 32  sell_own: 0.0  盈余: -51139.0  持仓: 3200  比率: 21.9696969697
day 2011-05-20  close: 14.57  ma250: 17.69
============买入2:buy_count: 33  sell_own: 0.0  盈余: -52596.0  持仓: 3300  比率: 21.4138641043
day 2011-05-23  close: 13.86  ma250: 17.67
============买入2:buy_count: 34  sell_own: 0.0  盈余: -53982.0  持仓: 3400  比率: 27.4891774892
day 2011-05-24  close: 13.63  ma250: 17.65
============买入2:buy_count: 35  sell_own: 0.0  盈余: -55345.0  持仓: 3500  比率: 29.4937637564
day 2011-05-25  close: 13.71  ma250: 17.62
============买入2:buy_count: 36  sell_own: 0.0  盈余: -56716.0  持仓: 3600  比率: 28.519328957
day 2011-05-26  close: 14.42  ma250: 17.60
============买入2:buy_count: 37  sell_own: 0.0  盈余: -58158.0  持仓: 3700  比率: 22.052704577
day 2011-05-27  close: 14.31  ma250: 17.59
============买入2:buy_count: 38  sell_own: 0.0  盈余: -59589.0  持仓: 3800  比率: 22.9210342418
day 2011-05-30  close: 14.14  ma250: 17.57
============买入2:buy_count: 39  sell_own: 0.0  盈余: -61003.0  持仓: 3900  比率: 24.2574257426
day 2011-05-31  close: 14.99  ma250: 17.56
============买入2:buy_count: 40  sell_own: 0.0  盈余: -62502.0  持仓: 4000  比率: 17.1447631755
day 2011-06-01  close: 14.87  ma250: 17.56
============买入2:buy_count: 41  sell_own: 0.0  盈余: -63989.0  持仓: 4100  比率: 18.0901143241
day 2011-06-02  close: 14.62  ma250: 17.55
============买入2:buy_count: 42  sell_own: 0.0  盈余: -65451.0  持仓: 4200  比率: 20.0410396717
day 2011-06-03  close: 14.78  ma250: 17.55
============买入2:buy_count: 43  sell_own: 0.0  盈余: -66929.0  持仓: 4300  比率: 18.7415426252
day 2011-06-07  close: 14.83  ma250: 17.55
============买入2:buy_count: 44  sell_own: 0.0  盈余: -68412.0  持仓: 4400  比率: 18.3412002697
day 2011-06-08  close: 14.67  ma250: 17.55
============买入2:buy_count: 45  sell_own: 0.0  盈余: -69879.0  持仓: 4500  比率: 19.6319018405
day 2011-06-09  close: 14.15  ma250: 17.55
============买入2:buy_count: 46  sell_own: 0.0  盈余: -71294.0  持仓: 4600  比率: 24.0282685512
day 2011-06-10  close: 14.41  ma250: 17.56
============买入2:buy_count: 47  sell_own: 0.0  盈余: -72735.0  持仓: 4700  比率: 21.8598195697
day 2011-06-13  close: 14.21  ma250: 17.56
============买入2:buy_count: 48  sell_own: 0.0  盈余: -74156.0  持仓: 4800  比率: 23.5749472203
day 2011-06-14  close: 14.78  ma250: 17.56
============买入2:buy_count: 49  sell_own: 0.0  盈余: -75634.0  持仓: 4900  比率: 18.8092016238
day 2011-06-15  close: 14.77  ma250: 17.56
============买入2:buy_count: 50  sell_own: 0.0  盈余: -77111.0  持仓: 5000  比率: 18.8896411645
day 2011-06-16  close: 14.86  ma250: 17.56
============买入2:buy_count: 51  sell_own: 0.0  盈余: -78597.0  持仓: 5100  比率: 18.1695827725
day 2011-06-17  close: 14.67  ma250: 17.55
============买入2:buy_count: 52  sell_own: 0.0  盈余: -80064.0  持仓: 5200  比率: 19.6319018405
day 2011-06-20  close: 14.90  ma250: 17.55
============买入2:buy_count: 53  sell_own: 0.0  盈余: -81554.0  持仓: 5300  比率: 17.7852348993
day 2011-06-21  close: 15.27  ma250: 17.55
============买入1:buy_count: 54  sell_own: 0.0  盈余: -83081.0  持仓: 5400  比率: 14.931237721
day 2011-06-22  close: 14.86  ma250: 17.56
============买入2:buy_count: 55  sell_own: 0.0  盈余: -84567.0  持仓: 5500  比率: 18.1695827725
day 2011-06-23  close: 15.45  ma250: 17.56
============买入1:buy_count: 56  sell_own: 0.0  盈余: -86112.0  持仓: 5600  比率: 13.6569579288
day 2011-06-24  close: 16.86  ma250: 17.57
day 2011-06-27  close: 16.71  ma250: 17.57
============买入1:buy_count: 57  sell_own: 0.0  盈余: -87783.0  持仓: 5700  比率: 5.14661879114
day 2011-06-28  close: 16.89  ma250: 17.58
day 2011-06-29  close: 16.87  ma250: 17.59
day 2011-06-30  close: 17.33  ma250: 17.60
day 2011-07-01  close: 17.13  ma250: 17.60
day 2011-07-04  close: 17.61  ma250: 17.61
day 2011-07-05  close: 17.46  ma250: 17.62
day 2011-07-06  close: 17.16  ma250: 17.63
day 2011-07-07  close: 16.64  ma250: 17.64
============买入1:buy_count: 58  sell_own: 0.0  盈余: -89447.0  持仓: 5800  比率: 6.00961538462
day 2011-07-08  close: 16.69  ma250: 17.64
============买入1:buy_count: 59  sell_own: 0.0  盈余: -91116.0  持仓: 5900  比率: 5.69203115638
day 2011-07-11  close: 16.64  ma250: 17.65
============买入1:buy_count: 60  sell_own: 0.0  盈余: -92780.0  持仓: 6000  比率: 6.06971153846
day 2011-07-12  close: 16.33  ma250: 17.65
============买入1:buy_count: 61  sell_own: 0.0  盈余: -94413.0  持仓: 6100  比率: 8.08328230251
day 2011-07-13  close: 16.53  ma250: 17.66
============买入1:buy_count: 62  sell_own: 0.0  盈余: -96066.0  持仓: 6200  比率: 6.83605565638
day 2011-07-14  close: 16.06  ma250: 17.66
============买入1:buy_count: 63  sell_own: 0.0  盈余: -97672.0  持仓: 6300  比率: 9.96264009963
day 2011-07-15  close: 16.07  ma250: 17.67
============买入1:buy_count: 64  sell_own: 0.0  盈余: -99279.0  持仓: 6400  比率: 9.9564405725
day 2011-07-18  close: 16.03  ma250: 17.68
============买入1:buy_count: 65  sell_own: 0.0  盈余: -100882.0  持仓: 6500  比率: 10.2932002495
day 2011-07-19  close: 15.80  ma250: 17.69
============买入1:buy_count: 66  sell_own: 0.0  盈余: -102462.0  持仓: 6600  比率: 11.9620253165
day 2011-07-20  close: 16.07  ma250: 17.70
============买入1:buy_count: 67  sell_own: 0.0  盈余: -104069.0  持仓: 6700  比率: 10.1431238332
day 2011-07-21  close: 15.96  ma250: 17.71
============买入1:buy_count: 68  sell_own: 0.0  盈余: -105665.0  持仓: 6800  比率: 10.9649122807
day 2011-07-22  close: 16.05  ma250: 17.72
============买入1:buy_count: 69  sell_own: 0.0  盈余: -107270.0  持仓: 6900  比率: 10.4049844237
day 2011-07-25  close: 15.01  ma250: 17.73
============买入2:buy_count: 70  sell_own: 0.0  盈余: -108771.0  持仓: 7000  比率: 18.1212524983
day 2011-07-26  close: 15.06  ma250: 17.74
============买入2:buy_count: 71  sell_own: 0.0  盈余: -110277.0  持仓: 7100  比率: 17.7954847278
day 2011-07-27  close: 15.17  ma250: 17.75
============买入2:buy_count: 72  sell_own: 0.0  盈余: -111794.0  持仓: 7200  比率: 17.0072511536
day 2011-07-28  close: 14.88  ma250: 17.75
============买入2:buy_count: 73  sell_own: 0.0  盈余: -113282.0  持仓: 7300  比率: 19.2876344086
day 2011-07-29  close: 15.38  ma250: 17.76
